car,automobile:0.8389297599985095
journey,voyage:0.911833392814492
boy,lad:0.8298088504764979
coast,shore:0.962080147865043
magician,wizard:0.6502250941439817
midday,noon:0.7992332656595296
furnace,stove:0.9321645357029659
food,fruit:0.9629273084911941
bird,crane:0.9238427628553717
tool,implement:0.8624681389311263
brother,monk:0.897645664441929
crane,implement:0.9356273057187912
lad,brother:0.8684777328154726
journey,car:0.8859438351628183
monk,oracle:0.9239082590098818
food,rooster:0.7370710781846203
coast,hill:0.9679399144862374
forest,graveyard:0.9136597898012018
monk,slave:0.9218359993258187
coast,forest:0.9540676220575868
lad,wizard:0.8907879414148859
chord,smile:0.9105443463789493
glass,magician:0.6551607707010213
noon,string:0.8562456812155929
rooster,voyage:0.7101811873621839
Correlation:0.05732974645217147
